14:46:13 | DEBUG | __init__: 623 | Using proactor: IocpProactor
14:46:13 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
14:46:13 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
14:46:13 | INFO | _welcome: 362 | Bot: borisenkotest [@boriseno_test_bot]
14:46:13 | INFO | start_polling: 358 | Start polling.
14:46:13 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
14:46:14 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":2}}'"
14:46:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
14:46:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162323,\n"message":{"message_id":369,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657798459,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}},{"update_id":554162324,\n"message":{"message_id":370,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657798461,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}'"
14:46:14 | DEBUG | start_polling: 395 | Received 2 updates.
14:46:14 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'Привет Sasha, я бот который отправит тебе твое же сообщение'}" and files "None"
14:46:14 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'Привет Sasha, я бот который отправит тебе твое же сообщение'}" and files "None"
14:46:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162325, 'timeout': 20}" and files "None"
