13:57:29 | DEBUG | __init__: 623 | Using proactor: IocpProactor
13:57:29 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
13:57:29 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
13:57:29 | INFO | _welcome: 362 | Bot: borisenkotest [@boriseno_test_bot]
13:57:29 | INFO | start_polling: 358 | Start polling.
13:57:29 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
13:57:29 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
13:57:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
13:57:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:57:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
13:57:52 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162212,\n"message":{"message_id":153,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657709873,"text":"\\u043e\\u0430"}}]}'"
13:57:52 | DEBUG | start_polling: 395 | Received 1 updates.
13:57:52 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'оа'}" and files "None"
13:57:52 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162213, 'timeout': 20}" and files "None"
13:57:52 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":154,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657709874,"text":"\\u043e\\u0430"}}'"
13:58:07 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162213,\n"message":{"message_id":155,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"ru"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657709889,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}'"
13:58:07 | DEBUG | start_polling: 395 | Received 1 updates.
13:58:07 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 965665251, 'text': 'Привет, аркаша лотов, я бот, который отправит в ответ твое любое сообщение'}" and files "None"
